,retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
47,"19 de abril 1213, Montevideo Uruguay","Copacabana 6808, Montevideo Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8838262,-56.0466473,19.18277008,1692
25,"Eulogio Caballero, Montevideo Uruguay","Copacabana 6808, Montevideo Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8838262,-56.0466473,18.47083805,1467
78,"Copacabana 6808, Montevideo Uruguay","Carlos Tellier, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8535167,-56.2452851,18.47083805,2022
50,"19 de abril 1213, Montevideo Uruguay","Rambla República de México, Montevideo Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8941222,-56.0595102,18.34942847,1473
28,"Eulogio Caballero, Montevideo Uruguay","Rambla República de México, Montevideo Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8941222,-56.0595102,17.57224905,1692
135,"Rambla República de México, Montevideo Uruguay","Carlos Tellier, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8535167,-56.2452851,17.57224905,1637
86,"Copacabana 6808, Montevideo Uruguay","Fernando Torres, Montevideo, Uruguay",small,express,2,1,-34.8838262,-56.0466473,-34.8485567,-56.233298,17.50946439,1912
58,"19 de abril 1213, Montevideo Uruguay","Cooper, Montevideo, Uruguay",small,express,2,1,-34.8443465,-56.250894,-34.8700236,-56.0694155,16.83826826,1582
143,"Rambla República de México, Montevideo Uruguay","Fernando Torres, Montevideo, Uruguay",small,express,2,1,-34.8941222,-56.0595102,-34.8485567,-56.233298,16.67425212,1582
36,"Eulogio Caballero, Montevideo Uruguay","Cooper, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8700236,-56.0694155,16.18569084,1967
234,"Carlos Tellier, Montevideo, Uruguay","Cooper, Montevideo, Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8700236,-56.0694155,16.18569084,1912
