,retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
0,Brito del pino 1491 Montevideo Uruguay,"Eulogio Caballero, Montevideo Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8535167,-56.2452851,9.777323024913034,1528
1,Brito del pino 1491 Montevideo Uruguay,"19 de abril 1213, Montevideo Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8443465,-56.250894,10.78932207449151,1253
2,Brito del pino 1491 Montevideo Uruguay,"Copacabana 6808, Montevideo Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8838262,-56.0466473,10.316145890570759,1473
3,Brito del pino 1491 Montevideo Uruguay,"Galicia 1224, Montevideo Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.9002335,-56.1903221,3.063031653965184,423
4,Brito del pino 1491 Montevideo Uruguay,"Doctor Prudencio de Pena, Montevideo Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8989865,-56.1578912,0.48222136270565036,314
5,Brito del pino 1491 Montevideo Uruguay,"Rambla República de México, Montevideo Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8941222,-56.0595102,8.969372768231928,1033
6,Brito del pino 1491 Montevideo Uruguay,"Ricaldoni, Montevideo Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8938637,-56.1591115,1.0612880527763606,314
7,Brito del pino 1491 Montevideo Uruguay,"Doctor Alberto Zubiría, Montevideo Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8434359,-56.1924935,7.38842246321802,1308
8,Brito del pino 1491 Montevideo Uruguay,"Adolfo berro, Montevideo Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8642481,-56.2077112,6.342220018931865,1198
9,Brito del pino 1491 Montevideo Uruguay,"Los Nogales, Montevideo Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8029901,-56.1143293,11.790028924353303,1027
10,Brito del pino 1491 Montevideo Uruguay,"Paysandú, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.901975,-56.1895067,2.973350408162762,423
11,Brito del pino 1491 Montevideo Uruguay,"Himalaya, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8681349,-56.1491542,3.9637483273177034,1088
12,Brito del pino 1491 Montevideo Uruguay,"Carlos Tellier, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8535167,-56.2452851,9.777323024913034,1473
13,Brito del pino 1491 Montevideo Uruguay,"Cooper, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8700236,-56.0694155,8.81627513940839,1418
14,Brito del pino 1491 Montevideo Uruguay,"Oyarvide, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8542084,-56.1264252,6.119381156252418,1308
15,Brito del pino 1491 Montevideo Uruguay,"Avenida Sarmiento, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.9153352,-56.1673733,1.6393353992933961,924
16,Brito del pino 1491 Montevideo Uruguay,"Líber Arce, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8988864,-56.1440372,1.2818422901715987,979
17,Brito del pino 1491 Montevideo Uruguay,"Hocquart, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8902774,-56.1800759,2.553891042063781,979
18,Brito del pino 1491 Montevideo Uruguay,"Ignacio Barrios, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8562398,-56.1393665,5.461423993722619,1198
19,Brito del pino 1491 Montevideo Uruguay,"Escalada, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8525727,-56.2005685,6.891472792524369,1308
20,Brito del pino 1491 Montevideo Uruguay,"Fernando Torres, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8485567,-56.233298,9.24603623558129,808
21,Brito del pino 1491 Montevideo Uruguay,"Carlos Reyles, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8819445,-56.1812809,3.243361827708675,1088
22,Brito del pino 1491 Montevideo Uruguay,"Rizal, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.9009529,-56.1352843,2.002472123493177,979
23,Brito del pino 1491 Montevideo Uruguay,"Chamizo, Montevideo, Uruguay",small,express,2,1,-34.9032725,-56.1570123,-34.8889171,-56.1212496,3.6361442267601523,1088
24,"Eulogio Caballero, Montevideo Uruguay","19 de abril 1213, Montevideo Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8443465,-56.250894,1.1393320214706664,1143
25,"Eulogio Caballero, Montevideo Uruguay","Copacabana 6808, Montevideo Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.8838262,-56.0466473,18.470838050269016,1467
26,"Eulogio Caballero, Montevideo Uruguay","Galicia 1224, Montevideo Uruguay",small,express,2,1,-34.8535167,-56.2452851,-34.9002335,-56.1903221,7.218766198003945,1363
