retiro,entrega,tamano,opcion_de_entrega,cantidad_de_paquetes,cantidad_de_asistentes,lat_retiro,lng_retiro,lat_entrega,lng_entrega,km,precio
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,1,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,250
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,1,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,860
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,1,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1470
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,1,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2080
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,1,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2690
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,1,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3300
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,2,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,314
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,2,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,924
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,2,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1534
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,2,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2144
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,2,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2754
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,2,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3364
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,3,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,378
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,3,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,988
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,3,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1598
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,3,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2208
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,3,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2818
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,3,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3428
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,4,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,442
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,4,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1052
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,4,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1662
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,4,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2272
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,4,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2882
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,4,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3492
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,5,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,506
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,5,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1116
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,5,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1726
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,5,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2336
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,5,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2946
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,5,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3556
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,6,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,570
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,6,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1180
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,6,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1790
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,6,3,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,2400
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,6,4,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3010
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,6,5,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,3620
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,7,0,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,634
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,7,1,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1244
"Arocena, Montevideo, Uruguay","Mantua, Montevideo, Uruguay",small,express,7,2,-34.8872037,-56.0578942,-34.8874709,-56.0509052,0.639573576,1854
